time,type,side,price,qty,tp1,tp2,sl,pnl_pct,event,break_time,box_low,box_high,trend,trend_strength
2024-12-30 15:15:00,ENTRY_MTF_SPOT,long,91725.335464,0.10357007638013516,94747.6852675388,95311.79608064241,90546.6649032876,,,,,,,
2024-12-30 20:00:00,TP1_MTF,long,94785.58434164582,0.05178503819006758,,,,3.336318000000004,,,,,,
2024-12-31 13:15:00,TP2_MTF,long,95349.92079907467,0.05178503819006758,,,,3.951564000000005,,,,,,
2024-12-31 17:30:00,ENTRY_MTF_SPOT,long,93756.217492,0.10483428126874546,95685.74691199999,96810.65475199999,92377.424202,,,,,,,
2025-01-02 04:30:00,TP1_MTF,long,95724.02121076478,0.05241714063437273,,,,2.098851437700859,,,,,,
2025-01-02 11:00:00,TP2_MTF,long,96849.37901390079,0.05241714063437273,,,,3.299153490449555,,,,,,
2025-01-02 14:00:00,ENTRY_MTF_SPOT,long,96406.60722399999,0.10456630749648213,98043.813644,98349.39238399999,95768.12156399999,,,,,,,
2025-01-03 16:15:00,TP1_MTF,long,98083.0311694576,0.052283153748241065,,,,1.7389098047631155,,,,,,
2025-01-03 16:30:00,TP2_MTF,long,98388.7321409536,0.052283153748241065,,,,2.0560052614943194,,,,,,
2025-01-04 01:00:00,ENTRY_MTF_SPOT,long,97927.935512,0.1047974649016801,99256.165952,100043.83749199999,97060.467182,,,,,,,
2025-01-06 02:00:00,TP1_MTF,long,99295.86841838079,0.05239873245084005,,,,1.3968771007259426,,,,,,
2025-01-06 14:45:00,TP2_MTF,long,100083.85502699678,0.05239873245084005,,,,2.20153677673783,,,,,,
2025-01-06 18:45:00,ENTRY_MTF_SPOT,long,101779.49552,0.10255516065978652,103642.2312,104728.19856,100448.43136,,,,,,,
2025-01-07 14:30:00,STOP_MTF,long,100488.610732544,0.10255516065978652,,,,-1.268315175724504,,,,,,
2025-01-07 15:30:00,ENTRY_MTF_SPOT,long,97607.39734799998,0.10565024007583212,98656.44859799999,98858.48809799999,97218.85984799998,,,,,,,
2025-01-07 15:45:00,STOP_MTF,long,97257.74739193918,0.10565024007583212,,,,-0.35822075535340636,,,,,,
2025-01-08 01:45:00,ENTRY_MTF_SPOT,long,96945.91286,0.10600912496563217,99306.36836,100682.50435999999,95259.19060999999,,,,,,,
2025-01-08 07:00:00,STOP_MTF,long,95297.29428624398,0.10600912496563217,,,,-1.7005550054872272,,,,,,
2025-01-08 11:45:00,ENTRY_MTF_SPOT,long,95172.97396799999,0.10623941637987507,96506.79925799998,96757.01761799998,94656.39412799999,,,,,,,
2025-01-08 15:30:00,STOP_MTF,long,94694.25668565118,0.10623941637987507,,,,-0.5029970824593191,,,,,,
2025-01-08 17:15:00,ENTRY_MTF_SPOT,long,93053.586552,0.10813989949136216,94792.002192,95116.471272,92375.630832,,,,,,,
2025-01-08 18:15:00,TP1_MTF,long,94829.9189928768,0.05406994974568108,,,,1.9089349553272332,,,,,,
2025-01-08 22:30:00,TP2_MTF,long,95154.51786050879,0.05406994974568108,,,,2.2577650000999743,,,,,,
2025-01-09 02:00:00,ENTRY_MTF_SPOT,long,94116.841684,0.10903433005938432,95970.463244,97076.19502400002,92918.07098399999,,,,,,,
2025-01-09 08:00:00,STOP_MTF,long,92955.23821239358,0.10903433005938432,,,,-1.2342142498858324,,,,,,
2025-01-09 13:45:00,ENTRY_MTF_SPOT,long,92023.214568,0.11020746128489972,93776.33968800001,94108.012008,91354.60528799999,,,,,,,
2025-01-09 15:30:00,TP1_MTF,long,93813.8502238752,0.05510373064244986,,,,1.9458521029517197,,,,,,
2025-01-09 15:45:00,TP2_MTF,long,94145.6552128032,0.05510373064244986,,,,2.3064187170236754,,,,,,
2025-01-09 20:15:00,ENTRY_MTF_SPOT,long,91328.206676,0.11328908209983453,93229.586426,93584.472176,90586.697426,,,,,,,
2025-01-10 02:00:00,TP1_MTF,long,93266.87826057039,0.056644541049917264,,,,2.122752274604608,,,,,,
2025-01-10 02:30:00,TP2_MTF,long,93621.9059648704,0.056644541049917264,,,,2.5114905595459973,,,,,,
2025-01-10 08:30:00,ENTRY_MTF_SPOT,long,94557.797996,0.11182834836097251,96726.834796,97162.469996,93838.84759599999,,,,,,,
2025-01-10 13:30:00,STOP_MTF,long,93876.38313503838,0.11182834836097251,,,,-0.7206331739984415,,,,,,
2025-01-10 15:00:00,ENTRY_MTF_SPOT,long,92393.552644,0.11366432668175665,94092.15809399998,94409.19674399999,91731.122294,,,,,,,
2025-01-10 15:00:00,TP1_MTF,long,94129.79495723758,0.056832163340878324,,,,1.8791812453921646,,,,,,
2025-01-10 15:00:00,STOP,long,92430.51006505759,,,,,,,,,,,
2025-01-10 21:45:00,ENTRY_MTF_SPOT,long,94651.105304,0.05924085532527085,97170.311424,97663.98870399999,93769.020164,,,,,,,
2025-01-12 09:30:00,STOP_MTF,long,93806.5277720656,0.05924085532527085,,,,-0.8923060425145436,,,,,,
2025-01-12 16:15:00,ENTRY_MTF_SPOT,long,94919.9528,0.05857230699212857,95407.93093999999,95692.42022,94571.25587,,,,,,,
